pattern,n,operation,structure,time_us
Sorted Descending,300,Batch Insert,Treap,12.16
Sorted Descending,400,Batch Insert,Treap,14.14
Sorted Descending,500,Batch Insert,Treap,19.56
Sorted Descending,600,Batch Insert,Treap,23.42
Sorted Descending,700,Batch Insert,Treap,26.58
Sorted Descending,800,Batch Insert,Treap,30.98
Sorted Descending,900,Batch Insert,Treap,34.78
Sorted Descending,1000,Batch Insert,Treap,35.26
Sorted Descending,1500,Batch Insert,Treap,61.6
Sorted Descending,2000,Batch Insert,Treap,77.44
Sorted Descending,2500,Batch Insert,Treap,99.06
Sorted Descending,3000,Batch Insert,Treap,140.9
Sorted Descending,3500,Batch Insert,Treap,138.78
Sorted Descending,4000,Batch Insert,Treap,174.6
Sorted Descending,4500,Batch Insert,Treap,186.48
Sorted Descending,5000,Batch Insert,Treap,190.58
Sorted Descending,6000,Batch Insert,Treap,260.72
Sorted Descending,7000,Batch Insert,Treap,345.76
Sorted Descending,8000,Batch Insert,Treap,319.46
Sorted Descending,9000,Batch Insert,Treap,391.6
Sorted Descending,10000,Batch Insert,Treap,406.48
Sorted Descending,100,Batch Insert,AVLTreeMap,3.92
Sorted Descending,200,Batch Insert,AVLTreeMap,8.38
Sorted Descending,300,Batch Insert,AVLTreeMap,12.94
Sorted Descending,400,Batch Insert,AVLTreeMap,17.38
Sorted Descending,500,Batch Insert,AVLTreeMap,23.6
Sorted Descending,600,Batch Insert,AVLTreeMap,50.16
Sorted Descending,700,Batch Insert,AVLTreeMap,32.0
Sorted Descending,800,Batch Insert,AVLTreeMap,38.58
Sorted Descending,900,Batch Insert,AVLTreeMap,55.18
Sorted Descending,1000,Batch Insert,AVLTreeMap,51.18
Sorted Descending,1500,Batch Insert,AVLTreeMap,79.0
Sorted Descending,2000,Batch Insert,AVLTreeMap,112.66
Sorted Descending,2500,Batch Insert,AVLTreeMap,135.26
Sorted Descending,3000,Batch Insert,AVLTreeMap,193.28
Sorted Descending,3500,Batch Insert,AVLTreeMap,192.84
Sorted Descending,4000,Batch Insert,AVLTreeMap,260.0
Sorted Descending,4500,Batch Insert,AVLTreeMap,245.2
Sorted Descending,5000,Batch Insert,AVLTreeMap,261.66
Sorted Descending,6000,Batch Insert,AVLTreeMap,329.28
Sorted Descending,7000,Batch Insert,AVLTreeMap,388.3
Sorted Descending,8000,Batch Insert,AVLTreeMap,454.14
Sorted Descending,9000,Batch Insert,AVLTreeMap,528.58
Sorted Descending,10000,Batch Insert,AVLTreeMap,578.36
Sorted Descending,100,Batch Insert,TreeMap,3.94
Sorted Descending,200,Batch Insert,TreeMap,9.6
Sorted Descending,300,Batch Insert,TreeMap,14.5
Sorted Descending,400,Batch Insert,TreeMap,23.7
Sorted Descending,500,Batch Insert,TreeMap,25.72
Sorted Descending,600,Batch Insert,TreeMap,31.0
Sorted Descending,700,Batch Insert,TreeMap,36.96
Sorted Descending,800,Batch Insert,TreeMap,47.44
Sorted Descending,900,Batch Insert,TreeMap,49.96
Sorted Descending,1000,Batch Insert,TreeMap,55.2
